Age,Balance,Products,Active,Tenure,CreditScore,EstimatedSalary,Churn
43,228029.87,3,0,7.0,750,120919.33,0
30,250000.0,1,1,5.6,648,60955.15,0
48,83989.47,1,0,6.8,583,81318.41,1
49,14308.77,2,0,5.0,651,85781.7,1
20,83658.86,1,1,5.6,760,57080.84,1
27,250000.0,2,1,4.4,618,30021.51,1
41,74159.82,4,1,7.5,505,56705.94,0
37,196156.04,2,1,5.8,621,101211.12,0
40,62177.71,2,0,4.6,628,112008.44,0
31,133828.6,1,1,4.5,504,112423.5,0
49,67691.38,1,1,4.7,669,118405.75,0
48,35371.1,2,0,5.1,690,67892.93,0
41,135927.78,2,1,4.9,799,61653.84,1
51,90386.36,3,1,3.6,543,106546.95,1
45,66934.23,1,0,6.9,708,81820.03,1
31,30687.61,1,0,7.1,727,135367.74,1
44,124573.98,1,0,9.5,692,106850.19,1
30,151912.87,2,1,3.5,569,160377.26,0
49,131909.01,2,0,6.7,565,72989.7,0
40,143765.18,3,0,0.2,658,145503.49,0
38,95628.8,1,0,7.1,657,224845.57,1
33,97350.86,2,1,1.4,605,92203.11,0
52,93979.58,1,1,2.5,753,112673.89,0
38,69941.57,1,0,5.8,618,59208.9,1
36,77079.26,1,0,3.4,499,134576.81,1
36,147180.2,2,1,3.1,632,149588.15,0
45,250000.0,1,1,3.8,688,72046.07,0
44,47249.57,1,0,6.8,677,117164.8,1
44,97077.48,2,1,2.7,677,102107.11,0
44,38684.8,2,1,4.9,770,107303.69,0
61,70978.4,1,1,4.1,561,129699.28,0
36,80718.19,1,1,7.0,616,113671.7,1
35,118377.82,2,0,7.1,774,84543.41,1
32,116019.78,2,1,0.4,493,130947.05,1
46,102977.54,2,1,7.6,646,148434.67,1
51,138969.64,1,0,3.5,748,70135.02,1
39,51345.44,2,0,5.6,747,89927.16,0
32,119082.58,3,1,2.7,703,40605.27,0
32,172152.39,1,1,5.9,705,117029.82,1
47,50786.16,1,0,10.0,567,156055.64,0
47,19933.92,4,1,5.3,760,80160.17,1
45,203273.1,1,1,3.9,554,95569.71,1
33,39853.75,2,1,4.4,559,81509.66,1
42,68201.21,2,1,1.3,681,75721.06,0
41,168846.38,1,0,8.6,611,99911.7,1
42,48554.74,2,1,5.8,667,63237.69,0
49,194099.42,1,1,2.4,684,80958.37,0
42,60361.45,2,1,2.5,792,59905.11,0
47,54296.75,3,1,5.0,685,117318.7,0
41,38863.66,3,1,7.3,601,100229.93,0
43,60814.83,1,0,2.1,704,74124.98,1
46,153819.76,2,1,7.8,583,91514.29,1
25,68211.16,3,1,4.8,723,81490.24,0
37,203820.38,2,1,2.7,655,150590.24,0
35,106059.18,2,0,3.8,682,73799.66,0
34,112892.45,1,1,9.4,508,119770.8,1
37,52892.17,2,0,1.5,470,65527.27,1
55,223766.26,1,0,3.2,530,129828.84,1
31,173090.67,1,1,7.4,790,143537.62,0
50,169841.69,3,0,5.5,558,146619.02,1
23,91577.33,3,1,3.0,709,174472.52,0
37,34515.75,4,0,7.4,599,102658.7,1
42,117247.4,1,0,7.5,631,157100.49,0
46,149414.39,1,1,5.8,646,186921.86,0
47,150430.43,2,0,3.5,782,54319.65,1
48,136923.51,1,1,3.9,697,68604.11,0
37,133029.15,3,1,5.7,681,45912.82,0
35,60118.14,2,0,1.7,754,145085.69,0
49,62574.39,1,0,8.3,599,45648.47,1
38,39212.37,1,1,9.3,735,40402.05,0
27,205372.21,1,0,4.4,722,54925.79,0
29,250000.0,3,0,5.9,721,41164.21,0
31,250000.0,2,1,8.0,638,101725.78,1
45,123061.71,1,0,9.9,615,55244.32,1
41,133263.25,1,0,8.9,580,42063.58,1
47,94342.2,1,0,0.7,585,88320.01,1
36,121706.29,1,0,4.2,577,90695.71,1
42,48389.24,3,1,6.3,679,38799.5,0
46,92921.02,2,1,3.8,632,65277.29,0
37,54674.45,1,1,9.5,685,87027.33,0
45,84113.29,2,1,9.1,689,76649.2,0
33,58629.53,1,1,3.0,565,77598.04,0
36,149467.98,1,0,4.6,563,153007.79,1
36,162365.37,2,1,3.1,632,236454.27,0
28,130432.48,1,0,4.5,588,78165.26,1
45,62788.52,1,1,4.4,580,49648.24,0
35,36755.28,2,1,7.4,786,80983.65,0
40,163592.17,3,0,2.8,527,98223.11,0
45,105649.24,1,0,0.0,812,87867.88,1
44,19042.12,2,1,1.0,673,118465.37,1
47,116559.64,1,0,2.4,729,243512.64,1
39,133952.74,2,1,3.4,719,41633.51,0
36,26227.48,1,1,5.5,699,71637.87,1
